Player_Name,Matches,Not_Outs,Runs_Scored,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Best_Bowling,Best_Bowling_Match,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate
Vaibhav Arora,10,4,8,15,0,0,0,0,4,0,203,310,8,0,0,"(2, 21)",2/21,1.3333333333333333,53.333333333333336,38.75,9.16256157635468,25.375
Varun Chakaravarthy,57,8,25,46,0,0,2,0,11,0,1312,1655,63,1,1,"(5, 20)",5/20,0.5102040816326531,54.347826086956516,26.26984126984127,7.56859756097561,20.825396825396826
Venkatesh Iyer,37,2,963,739,1,7,87,42,15,0,75,115,3,0,0,"(2, 29)",2/29,27.514285714285716,130.31123139377536,38.333333333333336,9.2,25.0
Vicky Ostwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Vidwath Kaverappa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Vijay Shankar,66,15,1038,792,0,6,73,43,26,0,238,344,9,0,0,"(2, 19)",2/19,20.352941176470587,131.06060606060606,38.22222222222222,8.672268907563026,26.444444444444443
Virat Kohli,239,34,7361,5655,7,51,654,237,109,0,251,368,4,0,0,"(2, 25)",2/25,35.90731707317073,130.1679929266136,92.0,8.796812749003983,62.75
Vishnu Vinod,6,0,56,57,0,0,3,3,1,2,0,0,0,0,0,"(0, 0)",0/0,9.333333333333334,98.24561403508771,0.0,0.0,0.0
Vishwanath Pratap Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Vyshak Vijay Kumar,7,1,13,9,0,0,0,1,1,0,144,253,9,0,0,"(3, 20)",3/20,2.1666666666666665,144.44444444444443,28.11111111111111,10.541666666666666,16.0
Wanindu Hasaranga,26,4,72,73,0,0,7,1,3,0,552,748,35,1,1,"(5, 18)",5/18,3.272727272727273,98.63013698630137,21.37142857142857,8.130434782608695,15.771428571428572
Washington Sundar,58,12,378,324,0,0,32,9,12,0,1024,1252,36,0,0,"(3, 16)",3/16,8.217391304347826,116.66666666666667,34.77777777777778,7.3359375,28.444444444444443
Will Jacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Wriddhiman Saha,162,24,2817,2200,1,13,282,84,90,26,0,0,0,0,0,"(0, 0)",0/0,20.41304347826087,128.04545454545456,0.0,0.0,0.0
Yash Dayal,16,0,0,1,0,0,0,0,2,0,318,512,15,0,0,"(3, 40)",3/40,0.0,0.0,34.13333333333333,9.660377358490566,21.2
Yash Dhull,4,0,16,23,0,0,1,0,2,0,0,0,0,0,0,"(0, 0)",0/0,4.0,69.56521739130434,0.0,0.0,0.0
Yash Thakur,10,0,0,0,0,0,0,0,1,0,209,332,13,1,0,"(4, 37)",4/37,0.0,0.0,25.53846153846154,9.531100478468899,16.076923076923077
Yashasvi Jaiswal,38,1,1196,800,1,8,147,49,14,0,1,6,0,0,0,"(0, 0)",0/0,32.32432432432432,149.5,0.0,36.0,0.0
Yudhvir Singh,3,0,1,2,0,0,0,0,0,0,48,70,3,0,0,"(2, 19)",2/19,0.3333333333333333,50.0,23.333333333333332,8.75,16.0
Yuzvendra Chahal,146,13,37,86,0,0,0,0,25,0,3191,4081,188,6,1,"(5, 40)",5/40,0.2781954887218045,43.02325581395349,21.70744680851064,7.6734565966781565,16.97340425531915
